,Value
0,0.1631799945533769
1,0.15744246732026143
2,0.15302315631808278
3,0.15033195533769064
4,0.14709449074074074
5,0.14619303649237472
6,0.14250686819172112
7,0.14096946895424836
8,0.1401291857298475
9,0.13942675381263617
10,0.13912771786492376
11,0.13933093954248366
12,0.13777096132897604
13,0.1376967619825708
14,0.13712599400871459
15,0.13515306917211328
16,0.13616946895424836
17,0.13576937363834424
18,0.1358989297385621
19,0.13562877178649238
20,0.13474764978213508
21,0.1340859722222222
22,0.13407949074074074
23,0.13536795479302832
24,0.13567208061002178
25,0.13406005174291938
26,0.13527330882352942
27,0.13370570533769063
28,0.13330484749455337
29,0.1330448093681917
30,0.1320331209150327
31,0.13186596949891066
32,0.13226600217864923
33,0.13262877723311547
34,0.13256410130718954
35,0.1322299183006536
36,0.1325906454248366
37,0.13300054193899782
38,0.13190083061002178
39,0.13253567265795207
40,0.13201153867102397
41,0.13172933823529412
42,0.1317539351851852
43,0.13231972494553376
44,0.13229892156862746
45,0.13294064270152506
46,0.1352009368191721
47,0.13406914215686275
48,0.13453474128540305
49,0.13483509531590415
50,0.13300669934640522
51,0.13440471949891067
52,0.1351975
53,0.1353900871459695
54,0.1348922440087146
55,0.1342612145969499
56,0.13510035947712418
57,0.13574847766884532
58,0.13542828159041395
59,0.1353470179738562
60,0.1354377096949891
61,0.13490397603485837
62,0.13612447167755992
63,0.13710171840958604
64,0.13681814270152506
65,0.13620345588235294
66,0.13688813180827886
67,0.13649784041394336
68,0.13524916666666667
69,0.13514772875816994
70,0.1333274537037037
71,0.1326416693899782
72,0.1315654411764706
73,0.13331438453159042
74,0.13153667755991286
75,0.13113790305010894
76,0.13105847494553377
77,0.13108552559912853
78,0.1319429357298475
79,0.13168343954248365
80,0.13105916666666667
81,0.13099187091503267
82,0.1317625462962963
83,0.13242579248366013
84,0.13159228213507626
85,0.13134783496732025
86,0.1308863779956427
87,0.13178232843137255
88,0.1326667565359477
89,0.13172869281045751
90,0.13141821623093683
91,0.1329732325708061
92,0.1341031454248366
93,0.13557669389978214
94,0.13422848039215687
95,0.1344716911764706
96,0.1356284885620915
97,0.13569610021786493
98,0.13527211328976035
99,0.13550412854030502
100,0.6452168763616558
101,0.5985217020697168
102,0.5609234068627451
103,0.5233166530501089
104,0.4932494580610022
