,Value
0,0.32011828431372547
1,0.3116506917211329
2,0.3060206154684096
3,0.2989980283224401
4,0.2955921623093682
5,0.2908803431372549
6,0.28745641612200434
7,0.28564831154684095
8,0.2807955119825708
9,0.2793927559912854
10,0.27948253267973855
11,0.2796239215686275
12,0.27942355664488017
13,0.2760175871459695
14,0.2741632843137255
15,0.27213464596949893
16,0.2690325326797386
17,0.2698277396514161
18,0.2680624291938998
19,0.2667319281045752
20,0.26917211873638347
21,0.2698317047930283
22,0.27090726034858387
23,0.27165075708061004
24,0.26808996187363837
25,0.26988399237472765
26,0.2704423366013072
27,0.27004670479302834
28,0.2707955446623094
29,0.2725810403050109
30,0.2695515468409586
31,0.2710676470588235
32,0.269572091503268
33,0.26976254357298474
34,0.26869375272331153
35,0.26723440631808276
36,0.2669605010893246
37,0.2679901470588235
38,0.26692381808278864
39,0.26656575163398694
40,0.26425752178649237
41,0.2661440631808279
42,0.2645714651416122
43,0.2632800871459695
44,0.2642455936819172
45,0.26508305555555556
46,0.26389978213507626
47,0.26719375272331153
48,0.2680176797385621
49,0.266497734204793
50,0.2681867047930283
51,0.26995843137254905
52,0.2705608605664488
53,0.27034692810457517
54,0.2706718191721133
55,0.26852928104575163
56,0.27000119825708063
57,0.2714713834422658
58,0.27255826252723314
59,0.27254959694989106
60,0.2721616067538126
61,0.27448682461873636
62,0.274738082788671
63,0.2728187527233115
64,0.27134281045751635
65,0.2665474673202614
66,0.26838272331154683
67,0.2666808769063181
68,0.2656883877995643
69,0.26599544662309366
70,0.26559063180827885
71,0.26367999455337693
72,0.2636679411764706
73,0.2644969934640523
74,0.26370634531590414
75,0.2649385893246187
76,0.26608564270152507
77,0.2677626089324619
78,0.26575477668845315
79,0.2629420533769063
80,0.2615224836601307
81,0.26311265795206973
82,0.2623168681917211
83,0.26040409041394336
84,0.26182330610021787
85,0.26321746187363837
86,0.2651914705882353
87,0.2646950217864924
88,0.26593070261437907
89,0.2649592483660131
90,0.26421754901960787
91,0.2668231263616558
92,0.26722212418300656
93,0.26544074618736385
94,0.2653686492374728
95,0.2638331154684096
96,0.263152962962963
97,0.2631002505446623
98,0.2643078540305011
99,0.26578900871459693
100,0.6775445343137255
101,0.6254000517429193
102,0.5815202260348584
103,0.5421166993464053
104,0.5045047194989106
105,0.4746434368191721
106,0.44822124727668844
107,0.42923248093681915
108,0.40921705337690634
109,0.39308032679738564
110,0.3790015413943355
111,0.3648179493464052
112,0.35045732298474946
113,0.34065364923747277
114,0.33369172930283225
115,0.3295133306100218
116,0.3193023011982571
117,0.31292582244008715
118,0.3079884586056645
119,0.30340207244008716
120,0.29936103213507625
121,0.29698268790849675
122,0.2937549319172113
123,0.2901651851851852
124,0.2868088970588235
125,0.2841074237472767
126,0.27989883442265795
127,0.2774151225490196
128,0.27749857843137254
129,0.2737337826797386
130,0.2749961928104575
131,0.2747106917211329
132,0.27553072984749455
133,0.2735155446623094
134,0.2750078758169935
135,0.27527564270152505
136,0.2742541421568627
137,0.27199974945533767
138,0.2699291040305011
139,0.2669242374727669
140,0.2652170942265795
141,0.2660822685185185
142,0.2667396269063181
143,0.26409764433551197
144,0.2640911519607843
145,0.26125214324618734
146,0.2614943218954248
147,0.26201583877995643
148,0.2609292211328976
149,0.26353004357298476
150,0.263435787037037
151,0.2622728676470588
152,0.26227071078431374
153,0.263272121459695
154,0.2629803022875817
155,0.26321090413943354
156,0.2642465659041394
157,0.2663882734204793
158,0.2650498611111111
159,0.26686303649237475
160,0.26684293845315904
161,0.2683482189542484
162,0.26744127723311545
163,0.2654885539215686
164,0.26472691721132896
165,0.265807091503268
166,0.26409528322440085
167,0.2669432516339869
168,0.2674522385620915
169,0.2667911928104575
170,0.2679373338779956
171,0.27181331154684096
172,0.26988245642701525
173,0.2664823366013072
174,0.26564616013071896
175,0.2662628703703704
176,0.2693317565359477
177,0.27013747004357297
178,0.27053599673202616
179,0.2703316557734205
180,0.2673330010893246
181,0.2629471269063181
182,0.26318436819172114
183,0.2637144880174292
184,0.2645313589324619
185,0.2620559449891067
186,0.26053338507625273
187,0.26099676470588234
188,0.26072978758169935
189,0.2634622331154684
190,0.26249378540305013
191,0.2621895833333333
192,0.2631395751633987
193,0.2654255555555556
194,0.2641148910675381
195,0.26591182461873636
196,0.2648761220043573
197,0.26508883442265796
198,0.26486615468409586
199,0.2643422276688453
200,0.6789254139433551
201,0.6252207080610022
202,0.581576304466231
203,0.542411135620915
204,0.5063580310457516
205,0.47661765795206973
206,0.45276627995642704
207,0.4296307489106754
208,0.4054957843137255
209,0.3897184885620915
210,0.37621628540305013
211,0.3630967047930283
212,0.35158532135076254
213,0.3409421187363834
214,0.3316325816993464
215,0.32411368736383445
216,0.3178179765795207
217,0.31381568355119827
218,0.30950659586056645
219,0.30569980119825707
220,0.30196955337690634
221,0.2968001062091503
222,0.28933697440087147
223,0.28864925925925927
224,0.28521978213507626
225,0.2819393436819172
226,0.2777162636165577
227,0.27776525054466233
228,0.2750945125272331
229,0.27407052015250544
230,0.2717792265795207
231,0.2736853758169935
232,0.27348261437908494
233,0.27028089324618737
234,0.26841148965141615
235,0.26865110294117645
236,0.26737246187363833
237,0.2653026606753813
238,0.264649885620915
239,0.26441919662309366
240,0.2641266258169935
241,0.26431502450980393
242,0.2655959204793028
243,0.2664444498910675
244,0.2627816476034858
245,0.26336909586056645
246,0.2613099809368192
247,0.2639529547930283
248,0.2633523611111111
249,0.26078543845315905
250,0.2613185103485839
251,0.2643769607843137
252,0.2636355065359477
253,0.2626379057734205
254,0.2609460702614379
255,0.2609270179738562
256,0.2600343600217865
257,0.26207006263616556
258,0.26143953159041394
259,0.2616106209150327
260,0.2639211873638344
261,0.260135552832244
262,0.26025453431372547
263,0.26144837690631806
264,0.2595683605664488
265,0.25786021786492375
266,0.2596587391067538
267,0.26189244281045754
268,0.261805348583878
269,0.2651001089324619
270,0.2648404466230937
271,0.26523578703703704
272,0.26647898692810457
273,0.2641400626361656
274,0.26603634259259257
275,0.2662294008714597
276,0.26694832788671025
277,0.26631172930283226
278,0.2626611274509804
279,0.2621075108932462
280,0.2629179493464052
281,0.26455857298474944
282,0.2646046732026144
283,0.2667820098039216
284,0.2683014596949891
285,0.2683790059912854
286,0.26621799291938997
287,0.2668802532679739
288,0.26684157952069715
289,0.26856117647058825
290,0.2695234940087146
291,0.2685075953159041
292,0.2674108605664488
293,0.2676647086056645
294,0.2648635239651416
295,0.2640736683006536
296,0.26397161492374727
297,0.2649389297385621
298,0.264369302832244
299,0.26233336873638347
300,0.6831278867102396
301,0.634173984204793
302,0.5905023910675381
303,0.5514281454248366
304,0.5162514950980392
305,0.48613099945533766
306,0.45936508986928104
307,0.4338165305010893
308,0.4151359749455338
309,0.4009905337690632
310,0.38791464869281045
311,0.37341117102396515
312,0.36219147331154683
313,0.35335061274509805
314,0.3433836274509804
315,0.33676231753812635
316,0.32644846405228756
317,0.32056390795206974
318,0.31712712962962963
319,0.31193772058823527
320,0.3052216503267974
321,0.3000007434640523
322,0.292936977124183
323,0.286835697167756
324,0.281055901416122
325,0.2782177260348584
326,0.27981254357298474
327,0.27730657135076253
328,0.2720224618736383
329,0.26966985021786494
330,0.2732760403050109
331,0.27321528594771244
332,0.2727951171023965
333,0.2710840822440087
334,0.2707275980392157
335,0.2723772303921569
336,0.27276351851851854
337,0.27616997821350764
338,0.2745910974945534
339,0.2740273148148148
340,0.2742762962962963
341,0.27147921296296296
342,0.2705678812636166
343,0.2677124183006536
344,0.2694741448801743
345,0.26693358387799565
346,0.2654900517429194
347,0.26300942810457517
348,0.2643919635076253
349,0.2666620506535948
350,0.26778848039215686
351,0.26735023692810456
352,0.26866945533769065
353,0.26697322984749455
354,0.26845723311546843
355,0.26521681100217864
356,0.2654008523965142
357,0.2645749019607843
358,0.2632251388888889
359,0.26096998366013074
360,0.2627306100217865
361,0.2633405936819172
362,0.26554376906318083
363,0.2673770397603486
364,0.26698915849673205
365,0.2650575354030501
366,0.2663946051198257
367,0.26568965958605667
368,0.2633716911764706
369,0.26347462690631807
370,0.2659525517429194
371,0.2658379656862745
372,0.26699213507625275
373,0.2668341394335512
374,0.26577369825708064
375,0.2649691639433551
376,0.2625154711328976
377,0.2647421160130719
378,0.26539983660130717
379,0.2654786410675381
380,0.265628022875817
381,0.2657845588235294
382,0.2677983605664488
383,0.26723907952069714
384,0.2623897494553377
385,0.2633596405228758
386,0.2658274727668845
387,0.2629442401960784
388,0.26631943899782134
389,0.2658551388888889
390,0.2655138208061002
391,0.2646336846405229
392,0.26408940904139433
393,0.26346614106753813
394,0.263912181372549
395,0.2614723284313725
396,0.262054621459695
397,0.2604429820261438
398,0.2595175571895425
399,0.25927105392156863
400,0.6835846786492374
401,0.6343549291938998
402,0.5895901252723311
403,0.549723545751634
404,0.5144674319172113
405,0.4816071977124183
406,0.45814680555555554
407,0.4388090468409586
408,0.4199976933551198
409,0.3993879357298475
410,0.38525413671023967
411,0.3665205501089325
412,0.35623336873638345
413,0.3462920806100218
414,0.33648348583877996
415,0.32606532952069717
416,0.3197979466230937
417,0.30994946078431374
418,0.3026873039215686
419,0.299835727124183
420,0.2964604466230937
421,0.2919148066448802
422,0.2900649645969499
423,0.2853040659041394
424,0.2828293545751634
425,0.28186958605664486
426,0.2823228322440087
427,0.281727644335512
428,0.278754417211329
429,0.27612881535947714
430,0.2763864705882353
431,0.2723830800653595
432,0.2727160838779956
433,0.2718959940087146
434,0.2707338371459695
435,0.27312409586056646
436,0.27054369825708063
437,0.269114302832244
438,0.26618299291938996
439,0.2660285049019608
440,0.2669712472766885
441,0.26571946350762526
442,0.26666522331154685
443,0.2687304112200436
444,0.2665672794117647
445,0.26344965413943355
446,0.26548057461873636
447,0.2641540359477124
448,0.2658884831154684
449,0.26632488562091505
450,0.2644414379084967
451,0.2628496459694989
452,0.26220487472766885
453,0.26316974945533766
454,0.26533979302832245
455,0.26521685729847494
456,0.26454063997821353
457,0.265165552832244
458,0.26389369553376907
459,0.26341737472766885
460,0.26342729302832246
461,0.2635855310457516
462,0.2637798965141612
463,0.26131785947712416
464,0.2608841993464052
465,0.26035455065359475
466,0.26269769880174293
467,0.2638790468409586
468,0.26137649509803923
469,0.2612270234204793
470,0.26097718409586057
471,0.26147202614379084
472,0.2600029547930283
473,0.2601834722222222
474,0.25794822440087145
475,0.2585195288671024
