,0,1
0,b,0.08391288293845317
1,c,0.16909344550653593
2,g,0.08396002856753812
3,p,0.16686529153050111
4,r,0.08335602457788671
5,w,0.25390839481209154
6,y,0.1675603705882353
7,b,0.13370808272058826
8,c,0.26615449063180824
9,g,0.1328713392156863
10,p,0.26676263033769065
11,r,0.13292077706971678
12,w,0.40113437467320257
13,y,0.26657684033224394
14,b,0.15098539468954247
15,c,0.3031286983115468
16,g,0.15120452741013074
17,p,0.3027755170751634
18,r,0.15090808533496733
19,w,0.4537009648692811
20,y,0.3029280345043573
21,1,0.17519646229575164
22,2,0.31782256367102396
23,3,0.3874430169117647
24,1,0.19953682214052287
25,2,0.349870022290305
26,3,0.4293251618600218
